Region,Product_Line,Revenue,Churn_Rate,Market_Share,Competitor_Growth,Anomalies_Detected
Europe,Cloud Security,8176420.43,0.1122,6.56,30.66,Market Shift
EMEA,Zero Trust,5938449.59,0.1032,32.71,18.07,Unusual Growth
APAC,Threat Intelligence,8123066.43,0.1171,19.56,26.20,Unusual Growth
EMEA,Endpoint Protection,8496392.52,0.0611,28.86,18.35,None
EMEA,Cloud Security,5770730.85,0.1366,13.03,10.20,Revenue Spike
LATAM,Zero Trust,8032377.24,0.1265,17.77,27.09,Revenue Spike
APAC,Zero Trust,7874631.21,0.0325,17.34,30.41,None
Europe,Cloud Security,7171164.99,0.0547,26.36,14.58,None
LATAM,Threat Intelligence,2303926.97,0.0123,22.73,17.83,None
Europe,Zero Trust,5485044.89,0.1059,33.04,24.83,Churn Anomaly
LATAM,Cloud Security,6037467.74,0.0401,13.37,17.47,Churn Anomaly
APAC,Zero Trust,8271152.78,0.0679,20.04,18.34,None
Europe,Zero Trust,6634306.36,0.1131,24.17,21.76,None
Europe,Zero Trust,4513268.67,0.1332,25.61,25.56,Revenue Spike
North America,Cloud Security,5590390.98,0.0125,28.13,13.70,Revenue Spike
Europe,Cloud Security,1669076.08,0.0423,6.84,22.78,None
LATAM,Endpoint Protection,6099911.96,0.0789,15.80,22.46,Churn Anomaly
EMEA,Zero Trust,1661829.74,0.0478,21.74,13.03,Revenue Spike
LATAM,Cloud Security,4886447.11,0.0316,29.60,10.25,None
EMEA,Threat Intelligence,1065970.91,0.0845,31.73,12.62,None
EMEA,Threat Intelligence,2278120.15,0.0420,7.18,25.67,None
APAC,Threat Intelligence,7025120.86,0.1273,16.92,18.75,None
EMEA,Endpoint Protection,6433907.78,0.0667,15.51,17.33,None
LATAM,Zero Trust,7540378.90,0.1132,31.47,23.22,Revenue Spike
Europe,Threat Intelligence,6177619.77,0.1455,5.52,39.50,None
APAC,Endpoint Protection,1010005.89,0.1424,24.59,29.78,None
LATAM,Threat Intelligence,5796076.81,0.0268,23.81,21.82,None
Europe,Threat Intelligence,3564494.02,0.1385,20.39,29.51,Unusual Growth
Europe,Endpoint Protection,5268273.76,0.0542,14.65,36.39,Churn Anomaly
Europe,Threat Intelligence,7672588.55,0.1132,12.84,31.84,None
Europe,Threat Intelligence,6959683.25,0.0765,17.37,39.97,None
APAC,Threat Intelligence,1081784.91,0.0599,23.77,14.05,None
Europe,Endpoint Protection,2515592.05,0.0680,17.11,18.81,None
EMEA,Cloud Security,3689375.57,0.1287,13.41,20.63,None
APAC,Cloud Security,8327542.24,0.0650,9.20,34.42,None
EMEA,Zero Trust,5180609.35,0.0496,28.79,39.76,Market Shift
APAC,Endpoint Protection,7224814.58,0.0972,26.19,37.75,None
APAC,Cloud Security,3801397.95,0.1320,22.46,32.12,Market Shift
